                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1101,                0.70668,                  1.117,                0.37796,                0.83649,                0.38306,                0.27789,                0.78939,                  1.776,                0.80965,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0892,                0.69726,                 1.1031,                0.37784,                 0.9261,                0.38565,                0.28283,                0.78575,                 1.8457,                0.79727,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0881,                0.69166,                 1.0981,                0.37929,                0.82685,                0.38381,                0.28115,                  0.779,                 1.7699,                0.80201,              0.0096436,              0.0096436,              0.0096436
                     38,                  1.089,                0.69147,                 1.0968,                0.37496,                0.93129,                0.38989,                  0.284,                0.76598,                 1.7679,                0.79942,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0771,                0.67899,                 1.0895,                0.38165,                 0.8371,                0.38714,                0.28642,                0.75622,                 1.7107,                 0.7918,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0624,                0.67777,                 1.0896,                0.37545,                0.93123,                0.39059,                0.28986,                 0.7527,                  1.764,                0.78437,              0.0096139,              0.0096139,              0.0096139
                     41,                   1.07,                0.67418,                 1.0938,                0.36803,                0.93214,                0.38862,                0.28991,                0.74628,                 1.7759,                0.78184,               0.009604,               0.009604,               0.009604
                     42,                 1.0623,                0.68106,                 1.0954,                0.37605,                0.93462,                0.39335,                0.28992,                0.75931,                 1.7945,                0.79788,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0596,                0.67154,                 1.0832,                0.37684,                 0.9116,                0.39121,                0.29272,                0.73281,                 1.7246,                0.77159,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.0474,                0.65562,                 1.0799,                0.37661,                0.91722,                0.39229,                0.29668,                0.73289,                 1.7059,                0.77174,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.0307,                0.64975,                 1.0775,                0.37714,                0.93067,                0.39181,                0.29432,                0.73175,                 1.7646,                0.76805,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.0392,                0.65032,                 1.0736,                0.37214,                 0.9303,                0.39211,                0.29478,                0.72656,                 1.7174,                0.76313,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.0303,                 0.6525,                 1.0739,                0.37286,                0.92987,                0.38791,                0.29501,                0.71577,                 1.7035,                0.76297,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.0201,                0.64591,                   1.07,                0.37599,                0.93208,                0.38936,                0.29576,                0.71201,                 1.7669,                0.76055,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.0276,                0.64753,                 1.0724,                0.37978,                0.94176,                0.39475,                0.30131,                0.69981,                 1.7487,                0.75187,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.0174,                0.63466,                 1.0624,                0.37533,                0.94292,                0.39676,                 0.3014,                0.70233,                 1.8071,                0.75916,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.0097,                0.63193,                 1.0614,                0.37708,                0.93597,                0.39285,                0.29976,                0.69945,                 1.7027,                0.75463,               0.009505,               0.009505,               0.009505
