                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6071,                 1.7082,                 1.8578,                0.37084,                0.56155,                0.51545,                0.32753,                 1.6715,                 8.1747,                 2.2121,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.5982,                 1.6859,                  1.846,                0.47282,                0.64915,                0.59053,                0.38216,                 1.9191,                 4.3964,                 2.4605,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.5802,                 1.6462,                 1.8372,                0.47932,                0.56133,                0.55437,                0.33203,                 1.8516,                  3.748,                 2.4033,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.6021,                   1.68,                 1.8585,                 0.5695,                0.71138,                0.60718,                  0.387,                 1.9805,                 4.0975,                 2.8673,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.5559,                 1.6629,                   1.83,                0.70519,                0.46697,                 0.5768,                0.36911,                  1.968,                 4.8638,                 2.8132,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.5424,                 1.6013,                  1.823,                   0.58,                0.66465,                0.65783,                0.42101,                  1.802,                 2.9905,                 2.3655,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.5023,                  1.519,                 1.7486,                0.57438,                0.61853,                0.61819,                0.40158,                 1.9352,                 3.7023,                 2.6235,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.5304,                 1.5579,                 1.7917,                0.66872,                0.68842,                0.69652,                0.43064,                 1.9538,                 3.1595,                 2.6345,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.5249,                 1.5796,                 1.7906,                0.46909,                0.74394,                0.59504,                0.38464,                 1.7942,                  3.859,                 2.4113,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.5202,                 1.5351,                 1.7803,                0.54563,                0.70042,                0.60155,                0.37566,                 1.8646,                 5.7185,                 2.5813,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.4762,                 1.4949,                 1.7433,                0.64474,                0.60812,                 0.6423,                 0.4162,                 1.9121,                 2.5426,                 2.4421,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.4524,                 1.4298,                 1.7305,                 0.5735,                 0.7526,                0.64026,                0.41933,                 1.9295,                 3.4356,                 2.7694,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.4422,                 1.4331,                 1.7121,                0.65831,                0.67623,                0.71462,                0.45619,                  1.899,                 2.9364,                 2.5706,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.4491,                 1.4666,                  1.738,                0.64564,                0.65624,                 0.6723,                0.43447,                 1.7157,                 2.5157,                 2.3163,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.4135,                 1.4269,                 1.7022,                0.55623,                0.73049,                0.65219,                0.42531,                 1.7623,                 4.1607,                 2.4213,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.4115,                 1.4038,                 1.7137,                0.66453,                0.63877,                 0.6932,                0.44458,                 1.7816,                 2.6077,                 2.4548,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.3915,                 1.3593,                 1.6872,                0.70828,                0.69733,                0.72032,                0.44008,                 1.7551,                 3.5888,                 2.2467,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.3807,                 1.3434,                 1.6754,                0.67274,                0.73828,                0.73845,                0.47842,                 1.8838,                 3.8962,                 2.7432,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.3743,                 1.3428,                 1.6758,                0.63292,                0.71361,                0.72892,                0.50416,                 1.6781,                 2.5879,                 2.3936,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.3785,                 1.3704,                 1.7089,                0.60734,                0.68502,                0.68035,                0.45219,                 1.7545,                 4.1957,                 2.3653,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.3779,                 1.3276,                 1.6712,                0.71772,                0.74305,                0.77245,                0.52631,                 1.8272,                 2.7963,                 2.5638,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.3492,                 1.3013,                 1.6404,                0.74013,                0.71711,                0.77229,                0.52762,                 1.9204,                 3.0768,                  2.936,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.3837,                 1.3456,                 1.6607,                0.74916,                0.69888,                0.76173,                0.51339,                 1.9614,                 4.1308,                 3.0145,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.3493,                 1.2557,                 1.6129,                0.78522,                0.75727,                0.81168,                0.55552,                 1.8406,                 2.1088,                 2.5276,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.3342,                 1.2787,                 1.6134,                0.74495,                0.82943,                0.81762,                0.56899,                 1.8791,                 3.7966,                 2.6985,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.2879,                  1.216,                 1.5997,                0.75536,                0.75597,                0.79726,                 0.5396,                  1.972,                 2.7451,                 3.1888,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.3176,                  1.229,                 1.5978,                0.71177,                0.74041,                0.77199,                0.52985,                 1.7887,                 3.6836,                 2.5501,              0.0011719,              0.0011719,              0.0011719
                     62,                  1.297,                 1.2417,                 1.6061,                0.73677,                 0.7852,                0.80947,                0.55953,                  1.777,                 2.4106,                 2.6296,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.3045,                 1.1998,                   1.58,                0.84188,                0.80368,                0.85505,                0.61812,                 1.9156,                 2.0881,                 3.1937,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.2703,                  1.203,                 1.5621,                0.88111,                0.77141,                0.86415,                0.62518,                 1.7672,                  2.614,                  2.606,              0.0011471,              0.0011471,              0.0011471
