                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2538,                 2.0144,                 1.4699,                0.36509,                0.46653,                0.33752,                0.15768,                 2.0994,                    1.9,                 1.3999,             0.00096215,             0.00096215,             0.00096215
                     35,                 2.2319,                 1.9576,                 1.4207,                0.38608,                 0.4111,                0.30863,                0.14556,                 2.0175,                 1.8655,                 1.4146,               0.000948,               0.000948,               0.000948
                     36,                 2.2041,                 1.9293,                 1.4236,                0.34744,                0.43696,                0.37066,                0.17017,                 2.1272,                 1.8215,                 1.3553,             0.00093385,             0.00093385,             0.00093385
                     37,                 2.1638,                 1.8921,                 1.4168,                0.52377,                0.50503,                0.46921,                0.20494,                 2.0453,                 1.8238,                 1.4125,              0.0009197,              0.0009197,              0.0009197
                     38,                 2.1524,                 1.8696,                 1.4223,                0.74628,                0.48796,                0.53008,                0.21126,                 2.0109,                 1.6839,                 1.3783,             0.00090556,             0.00090556,             0.00090556
                     39,                 2.1442,                 1.8509,                 1.4371,                0.60367,                0.50644,                0.49234,                0.27386,                 1.9598,                 1.6584,                 1.3667,             0.00089141,             0.00089141,             0.00089141
                     40,                 2.1202,                 1.8232,                  1.396,                0.50978,                0.51304,                0.48897,                0.25394,                  2.142,                 1.6612,                 1.5465,             0.00087726,             0.00087726,             0.00087726
                     41,                 2.0852,                 1.7951,                 1.3718,                 0.4193,                0.57938,                0.47132,                0.26589,                 2.1376,                 1.6825,                 1.4353,             0.00086312,             0.00086312,             0.00086312
                     42,                 2.0696,                 1.7811,                 1.4141,                0.54842,                0.54698,                0.51881,                0.23808,                  2.162,                 1.5858,                 1.5965,             0.00084897,             0.00084897,             0.00084897
                     43,                  2.079,                 1.7439,                 1.3738,                0.48446,                0.54182,                0.44938,                0.24126,                 2.0629,                 1.5872,                  1.449,             0.00083482,             0.00083482,             0.00083482
                     44,                 2.0429,                 1.7132,                 1.3557,                0.53093,                0.52578,                0.50828,                0.27315,                 1.9741,                 1.5425,                 1.4465,             0.00082067,             0.00082067,             0.00082067
                     45,                 2.0341,                 1.6708,                 1.3559,                0.62952,                0.49399,                0.52288,                0.26206,                   2.14,                 1.5987,                 1.3981,             0.00080653,             0.00080653,             0.00080653
                     46,                 2.0224,                 1.6456,                 1.3369,                0.58734,                0.54924,                0.56695,                0.30485,                 2.0553,                 1.3994,                 1.4271,             0.00079238,             0.00079238,             0.00079238
                     47,                 2.0017,                 1.6521,                 1.3201,                0.58505,                0.55892,                0.57843,                0.32237,                 2.0584,                  1.402,                 1.4889,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.9919,                 1.5958,                 1.3119,                0.62019,                0.51778,                0.56006,                0.26829,                 2.0314,                 1.4151,                 1.4701,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.9365,                 1.5845,                  1.312,                 0.5976,                0.58506,                0.56274,                0.31379,                 1.9478,                 1.3854,                 1.3791,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.9434,                 1.5733,                 1.3264,                0.64535,                0.57164,                0.59487,                0.33385,                 2.0361,                 1.3716,                 1.4589,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.9467,                 1.5647,                 1.2911,                0.64782,                0.52793,                0.58848,                0.31393,                 1.9717,                 1.3893,                 1.3243,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.9357,                 1.5337,                 1.2965,                0.49993,                0.63853,                0.59299,                0.26044,                 2.0431,                 1.4612,                 1.5088,              0.0007075,              0.0007075,              0.0007075
