                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87937,                0.52544,                0.93588,                0.98316,                0.92709,                0.95711,                0.77744,                0.90632,                0.44882,                0.86243,              0.0096634,              0.0096634,              0.0096634
                     36,                0.88694,                0.52588,                0.93597,                 0.9817,                0.93608,                0.95746,                0.78155,                0.90955,                0.44686,                0.85902,              0.0096535,              0.0096535,              0.0096535
                     37,                0.88078,                0.51949,                0.93349,                0.98174,                 0.9356,                0.95679,                0.78591,                 0.8962,                0.44414,                0.85712,              0.0096436,              0.0096436,              0.0096436
                     38,                0.88008,                0.52403,                0.93517,                0.98491,                0.92993,                0.95705,                0.79017,                0.88377,                0.43909,                0.85638,              0.0096337,              0.0096337,              0.0096337
                     39,                0.87316,                0.51664,                0.93232,                0.98347,                0.93744,                 0.9585,                 0.7882,                0.88205,                0.43402,                0.85361,              0.0096238,              0.0096238,              0.0096238
                     40,                0.86135,                0.51425,                0.92553,                0.98532,                0.93298,                0.95698,                0.79114,                0.85726,                0.42986,                0.84774,              0.0096139,              0.0096139,              0.0096139
                     41,                0.86099,                0.50937,                0.92512,                0.98173,                0.93893,                0.96114,                0.79537,                0.85378,                0.42831,                0.84487,               0.009604,               0.009604,               0.009604
                     42,                 0.8549,                0.50363,                0.92373,                0.98499,                 0.9304,                0.96021,                0.79271,                0.87013,                0.42936,                0.85083,              0.0095941,              0.0095941,              0.0095941
                     43,                0.84522,                0.49931,                0.92321,                0.98262,                0.93613,                 0.9618,                0.79804,                0.85213,                0.42389,                0.84358,              0.0095842,              0.0095842,              0.0095842
                     44,                0.84109,                0.49866,                0.92017,                0.98227,                0.93537,                 0.9615,                0.79928,                0.85042,                0.41807,                0.84306,              0.0095743,              0.0095743,              0.0095743
                     45,                0.84536,                0.49947,                0.92351,                0.98932,                0.93644,                0.96131,                0.79854,                0.83749,                 0.4153,                0.84122,              0.0095644,              0.0095644,              0.0095644
                     46,                0.83222,                0.48965,                0.91144,                0.98222,                0.93619,                0.95963,                0.79945,                0.83714,                0.41778,                0.83998,              0.0095545,              0.0095545,              0.0095545
                     47,                0.82901,                0.49467,                0.91427,                0.98418,                0.93652,                0.96108,                0.80361,                0.81793,                0.40912,                0.83493,              0.0095446,              0.0095446,              0.0095446
                     48,                0.82696,                0.49003,                0.91121,                0.98371,                0.93941,                0.95962,                0.80668,                0.80335,                 0.4023,                0.83374,              0.0095347,              0.0095347,              0.0095347
                     49,                0.81208,                0.47962,                0.90955,                0.98069,                 0.9387,                0.96176,                0.80638,                0.81133,                0.40722,                0.83319,              0.0095248,              0.0095248,              0.0095248
                     50,                0.81346,                0.47938,                0.91037,                0.98596,                0.93783,                0.96134,                0.80572,                 0.8049,                 0.3971,                0.83174,              0.0095149,              0.0095149,              0.0095149
                     51,                0.81147,                0.47755,                 0.9098,                0.98618,                0.93679,                0.96143,                0.81063,                   0.79,                0.39497,                0.82866,               0.009505,               0.009505,               0.009505
                     52,                0.80918,                0.47264,                0.90591,                0.98363,                0.93899,                0.96253,                0.80941,                0.79052,                0.39591,                0.82779,              0.0094951,              0.0094951,              0.0094951
                     53,                0.79919,                0.47172,                0.90379,                0.98467,                0.93854,                0.96272,                0.81412,                0.77463,                0.38818,                0.82373,              0.0094852,              0.0094852,              0.0094852
                     54,                0.79676,                0.47179,                0.90453,                0.98631,                0.93892,                 0.9626,                0.81213,                 0.7908,                 0.3888,                0.82711,              0.0094753,              0.0094753,              0.0094753
                     55,                0.80417,                 0.4755,                0.91279,                0.98018,                0.94006,                0.96241,                0.81295,                0.78183,                 0.3885,                0.82557,              0.0094654,              0.0094654,              0.0094654
                     56,                0.79149,                0.46202,                0.90634,                0.98301,                 0.9397,                0.96462,                0.81653,                0.76679,                0.38398,                0.82239,              0.0094555,              0.0094555,              0.0094555
                     57,                0.80017,                 0.4643,                0.90455,                0.98137,                0.93862,                0.96361,                 0.8185,                0.76201,                0.38051,                 0.8217,              0.0094456,              0.0094456,              0.0094456
                     58,                0.79169,                0.46462,                0.90397,                0.98256,                0.94163,                0.96424,                0.82083,                0.76329,                  0.384,                0.82045,              0.0094357,              0.0094357,              0.0094357
                     59,                0.78984,                0.45809,                0.90359,                0.98128,                0.94316,                0.96456,                0.81865,                0.76183,                0.38215,                0.81993,              0.0094258,              0.0094258,              0.0094258
                     60,                0.78521,                0.45708,                0.90227,                0.98345,                0.94245,                0.96523,                0.82264,                0.76085,                0.37624,                  0.819,              0.0094159,              0.0094159,              0.0094159
                     61,                0.77333,                0.44918,                0.89713,                0.98177,                0.94489,                0.96316,                0.82196,                0.75769,                0.37772,                0.81953,               0.009406,               0.009406,               0.009406
                     62,                0.78096,                0.45368,                0.89946,                0.98263,                0.94312,                0.96232,                0.82165,                0.75607,                0.37201,                0.81748,              0.0093961,              0.0093961,              0.0093961
                     63,                0.76724,                0.44813,                0.89731,                0.98481,                 0.9446,                0.96403,                0.82327,                0.74678,                0.36978,                 0.8144,              0.0093862,              0.0093862,              0.0093862
                     64,                0.77155,                0.44964,                0.89427,                0.98803,                0.94295,                0.96349,                0.82022,                0.74952,                0.37062,                0.81557,              0.0093763,              0.0093763,              0.0093763
                     65,                0.76146,                0.45487,                0.89195,                0.98561,                  0.943,                0.96463,                0.82353,                0.74056,                 0.3676,                0.81524,              0.0093664,              0.0093664,              0.0093664
                     66,                0.76633,                0.44435,                0.89486,                0.98697,                0.94458,                0.96398,                0.82163,                 0.7394,                0.36846,                0.81391,              0.0093565,              0.0093565,              0.0093565
                     67,                0.76346,                0.44585,                0.89746,                0.98395,                0.94583,                0.96258,                0.82077,                0.73295,                0.36584,                0.81308,              0.0093466,              0.0093466,              0.0093466
                     68,                0.75603,                0.44197,                0.89249,                0.98196,                0.94596,                0.96342,                0.82215,                0.73497,                0.36418,                0.81274,              0.0093367,              0.0093367,              0.0093367
                     69,                0.75246,                0.44189,                0.88956,                0.98261,                0.94361,                0.96411,                0.82552,                 0.7246,                0.36011,                0.81121,              0.0093268,              0.0093268,              0.0093268
