                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,0.93597,0.56899,1.0348,0.968,0.94118,0.9635,0.77612,0.63622,0.39081,0.71681,0.0095644,0.0095644,0.0095644
46,0.93459,0.56147,1.0293,0.97168,0.93872,0.96369,0.77754,0.63201,0.39249,0.71306,0.0095545,0.0095545,0.0095545
47,0.9359,0.56703,1.0287,0.97057,0.93913,0.96395,0.77573,0.63118,0.39942,0.71099,0.0095446,0.0095446,0.0095446
48,0.93468,0.57046,1.0303,0.96984,0.93991,0.96381,0.77885,0.62666,0.39062,0.70644,0.0095347,0.0095347,0.0095347
49,0.92928,0.56483,1.0256,0.96752,0.94144,0.96415,0.78124,0.62137,0.38946,0.70286,0.0095248,0.0095248,0.0095248
50,0.91793,0.55622,1.0258,0.96604,0.942,0.96429,0.78285,0.6157,0.3956,0.6997,0.0095149,0.0095149,0.0095149
51,0.91746,0.5541,1.0226,0.9706,0.9416,0.96429,0.78552,0.61278,0.39792,0.6985,0.009505,0.009505,0.009505
52,0.91044,0.54315,1.0191,0.97074,0.94026,0.96483,0.78694,0.61009,0.39701,0.69655,0.0094951,0.0094951,0.0094951
53,0.9092,0.54716,1.0175,0.97065,0.93917,0.96478,0.78838,0.60643,0.42316,0.6938,0.0094852,0.0094852,0.0094852
54,0.89969,0.54515,1.0143,0.97006,0.93938,0.96495,0.78796,0.60335,0.41451,0.69194,0.0094753,0.0094753,0.0094753
55,0.90455,0.54691,1.0175,0.96882,0.93922,0.96517,0.7893,0.59991,0.41431,0.69047,0.0094654,0.0094654,0.0094654
56,0.90255,0.5431,1.0096,0.96844,0.93988,0.96516,0.79106,0.59712,0.42029,0.68848,0.0094555,0.0094555,0.0094555
57,0.89737,0.54071,1.0087,0.97107,0.93963,0.96551,0.79099,0.59598,0.43767,0.68722,0.0094456,0.0094456,0.0094456
58,0.8918,0.53687,1.0084,0.97135,0.93874,0.96559,0.79397,0.59386,0.42429,0.68514,0.0094357,0.0094357,0.0094357
59,0.89163,0.53903,1.0123,0.97011,0.9389,0.96535,0.79506,0.59212,0.41036,0.68432,0.0094258,0.0094258,0.0094258
60,0.88356,0.52931,1.0019,0.97044,0.94006,0.96551,0.79565,0.59002,0.40391,0.68274,0.0094159,0.0094159,0.0094159
61,0.88088,0.52868,1.0017,0.96934,0.94221,0.96544,0.7958,0.58825,0.39959,0.68177,0.009406,0.009406,0.009406
62,0.88093,0.52931,1.0004,0.96852,0.94309,0.96562,0.79595,0.58693,0.39999,0.68115,0.0093961,0.0093961,0.0093961
63,0.88527,0.53212,1.0056,0.96955,0.9432,0.96567,0.79675,0.58554,0.39962,0.68005,0.0093862,0.0093862,0.0093862
64,0.88151,0.53003,0.99896,0.97088,0.94143,0.96562,0.798,0.58413,0.39521,0.67902,0.0093763,0.0093763,0.0093763
65,0.87339,0.52336,0.99681,0.9713,0.9406,0.96566,0.79899,0.58215,0.39142,0.67781,0.0093664,0.0093664,0.0093664
66,0.87331,0.52279,0.99804,0.96936,0.94165,0.96533,0.79958,0.58083,0.3888,0.67716,0.0093565,0.0093565,0.0093565
67,0.86559,0.52004,0.99266,0.96899,0.94228,0.96547,0.79969,0.5787,0.38147,0.67614,0.0093466,0.0093466,0.0093466
68,0.86796,0.51861,0.99298,0.96909,0.94354,0.9658,0.80047,0.5773,0.38393,0.67495,0.0093367,0.0093367,0.0093367
69,0.86188,0.51946,0.99055,0.9691,0.94393,0.96598,0.80138,0.57617,0.3831,0.67402,0.0093268,0.0093268,0.0093268
70,0.85172,0.51267,0.98653,0.9685,0.94421,0.96654,0.8019,0.57558,0.38476,0.67336,0.0093169,0.0093169,0.0093169
71,0.8547,0.51371,0.98945,0.96882,0.94415,0.96665,0.80263,0.57462,0.3857,0.67282,0.009307,0.009307,0.009307
72,0.85115,0.51042,0.98646,0.97073,0.9432,0.96666,0.80285,0.57375,0.38418,0.67209,0.0092971,0.0092971,0.0092971
73,0.85274,0.51035,0.98264,0.96992,0.94433,0.96675,0.80341,0.57231,0.38359,0.67148,0.0092872,0.0092872,0.0092872
74,0.85379,0.51126,0.99032,0.96946,0.94486,0.96669,0.80364,0.57143,0.38337,0.67105,0.0092773,0.0092773,0.0092773
75,0.84505,0.50404,0.98197,0.96898,0.94388,0.96664,0.80373,0.57041,0.3817,0.67063,0.0092674,0.0092674,0.0092674
76,0.84373,0.50543,0.98434,0.97117,0.94106,0.96661,0.804,0.56962,0.38161,0.67021,0.0092575,0.0092575,0.0092575
77,0.84437,0.50312,0.98302,0.96915,0.94394,0.96669,0.80433,0.56839,0.38106,0.66954,0.0092476,0.0092476,0.0092476
78,0.84783,0.50681,0.98506,0.96958,0.94383,0.96676,0.80451,0.56776,0.37876,0.66908,0.0092377,0.0092377,0.0092377
79,0.83979,0.50091,0.97834,0.97032,0.94407,0.9668,0.80503,0.56685,0.37603,0.66851,0.0092278,0.0092278,0.0092278
80,0.83841,0.50244,0.97997,0.97033,0.94389,0.96681,0.80474,0.56597,0.3745,0.66773,0.0092179,0.0092179,0.0092179
81,0.83638,0.50056,0.98026,0.97048,0.94307,0.9668,0.80528,0.56482,0.37422,0.66711,0.009208,0.009208,0.009208
82,0.84199,0.50402,0.97822,0.97057,0.94356,0.96689,0.80555,0.56403,0.37326,0.66663,0.0091981,0.0091981,0.0091981
83,0.83187,0.49442,0.97365,0.97049,0.94357,0.96691,0.806,0.56299,0.37278,0.6658,0.0091882,0.0091882,0.0091882
84,0.8306,0.4924,0.97244,0.97038,0.94388,0.96708,0.80614,0.56183,0.37341,0.66504,0.0091783,0.0091783,0.0091783
85,0.82953,0.49744,0.97497,0.9693,0.94535,0.96712,0.80649,0.56094,0.37254,0.66437,0.0091684,0.0091684,0.0091684
86,0.82778,0.49523,0.97579,0.96972,0.94502,0.96719,0.80701,0.55991,0.37348,0.66373,0.0091585,0.0091585,0.0091585
87,0.83201,0.49323,0.97481,0.97016,0.94464,0.96725,0.80727,0.55893,0.37426,0.66317,0.0091486,0.0091486,0.0091486
88,0.82144,0.49233,0.97158,0.97023,0.94445,0.96728,0.80747,0.55822,0.37432,0.66257,0.0091387,0.0091387,0.0091387
89,0.82911,0.49349,0.97089,0.96964,0.94521,0.96731,0.80815,0.55722,0.37314,0.66192,0.0091288,0.0091288,0.0091288
